22may21, 27may21, 26may21, 
23may21, 27may21, 26may21, 
24may21, 27may21, 26may21, 
25may21, 27may21, 26may21, 
26may21, 27may21, 25may21, 
27may21, 26may21, 25may21, 
365, o365, 
AAD, AD, 
academic, academic_mentor, admin, 
academic_mentor, academic, 
access, db_access, ess, 
access_change, name_change, password_change, 
accommodation, accomodation, automation, 
accomodation, accommodation, automation, 
account, Account, lab_account, 
Account, account, new_Account, 
account_creation, ad-accont-creation-, account_frozen, 
account_expired, account_locked, account_frozen, 
account_frozen, account_creation, account_locked, 
account_locked, account_frozen, account_expired, 
Accouting, Account, account, 
Activation, creation, Authentication, 
ActiveDirectory, Directory, staff_directory, 
ad, add, card, 
AD, AAD, 
ad-accont-creation-, ad-accont-creation-apu-apiit, account_creation, 
ad-accont-creation-apu-apiit, ad-accont-creation-, account_creation, 
add, ad, Add, 
Add, add, Ads, 
add_attendances, attendances, attendance, 
add_guest, guest, add_module, 
add_intake, add_intakw, intake, 
add_intakw, add_intake, intake, 
add_module, module, Nepal_module, 
adhoc, ad_hoc, adHoc, 
ad_hoc, adhoc, adHoc, 
adHoc, adhoc, ad_hoc, 
ad_hoc_report, adhoc_report, report, 
adhoc_report, ad_hoc_report, report, 
AD_MEMBER, MEMEBER, MEMBER-AD, 
admin, domain, ExamAdmin, 
adobe, adobeCC, Adobe, 
Adobe, adobe, obe, 
adobeCC, adobe, Adobe, 
Ads, Add, 
Advertisement, Assesment, revert_mentor, 
agent, payment, assignment, 
aging, mailing, loading, 
Aging_Report, Report, progression_report, 
Airasia, Appraisal, 
airportal, report, Virtual, 
ALie, ie, Listed, 
alternative_assessment, assessment, 
amos, teams, Teams, 
AMR, SAR, RAM, 
announcement, assignement, appointment, 
apay, apca, apface, 
apca, apay, apspc, 
APcard, APCard, card, 
APCard, APcard, Card, 
apface, finance, APSpace, 
API, APU, 
api_error, error, Human_error, 
APiX, APlink, APTime, 
APLC, PLECS, PL, 
APlink, APiX, 
application, exit_application, leave_application, 
appointment, appointment_cancelled, pointer, 
appointment_cancelled, appointment, Maintenance, 
Appraisal, staff_appraisal, Airasia, 
AppRegistration, Registeration, reorganisation, 
APQuest, MyQuest, guest, 
apres, are, resit, 
APSpace, APSpace_Admin, WorkSpace, 
APSpace_Admin, APSpace_Admin_SS, APSpace_Admin_Academic, 
APSpace_Admin_Academic, APSpace_Admin, APSpace_Admin_SS, 
APSpace_Admin_SS, APSpace_Admin, APSpace_Admin_Academic, 
apspc, mspc, apca, 
APTime, UniTime, APiX, 
APU, MAPCU, API, 
APUWebsites, Website, 
Archive, driver, Xdrive, 
are, azure, apres, 
assemment_log, assessment_code, assessment, 
Assesment, assessment, Assignment, 
assessment, Assesment, assessment_code, 
assessment_code, assessment_scheme, assessment, 
assessment_configurator, course_configurator, assessment_code, 
assessment_scheme, assessment_code, assessment_setting, 
assessment_setting, assessment_scheme, assessment_code, 
asset, headset, assignment, 
assignee, assignement, assignment, 
assignement, assignment, Assignment, 
assignment, assignement, Assignment, 
Assignment, assignment, assignement, 
assistant, Pakistan, atlassian, 
asterix, master, attendix, 
atlassian, assistant, 
attendance, attendances, add_attendances, 
attendances, attendance, add_attendances, 
attendances_transfer, attendances, attendance, 
attendix, attendance, asterix, 
attestation, testing, investigation, 
audir, audit, Laundry, 
audit, audir, Audit, 
Audit, audit, MyRAAudit, 
Audit_finance, finance, transfer_finance, 
Audit(Myra), Audit, 
Auditorium, Audit, 
Authentication, Activation, Orientation, 
automation, automation_studio, accomodation, 
automation_studio, automation, 
Autoreply, noreply, no_reply, 
AWS_Workspace, Workspace, workspace, 
azure, Azure, are, 
Azure, azure, 
backend, Backend, blocked, 
Backend, backend, 
batery, battery, batter, 
batte, batter, battery, 
batter, battery, batte, 
battery, batter, batery, 
beta, setara, Netcad, 
BiosVersion, session, OBE_Class_Version, 
BitBucket, ticket, view_ticket, 
blacklist_modules, Nepal_module, 
Blank, PGDBank, 
block, lock, blocked, 
blocked, block, lock, 
booking, working, 
Browser, old_browser, 
bud, bug, 
bug, bugs, bud, 
Bug, bug, Bus, 
bugs, bug, ebus, 
bulkclasscreation, Declaration, creation, 
bursary, library, Library, 
Bus, Bug, 
byod_reset, reset, password_reset, 
Cable, tablet, disable, 
cache, cancel, photocache, 
cadcam, card, 
calcelled_email, canceled, 
camera, charger, myra, 
cancel, canceled, cache, 
canceled, cancel, visa_cancel, 
card, APcard, Card, 
Card, IDCard, APCard, 
careercentre, revert_mentor, correct-entry, 
cas, class, chats, 
Cashier, Cashless, master, 
Cashless, Cashier, slowness, 
certificate, Notification, 
CGPA, ICGPA, 
change, charger, name_change, 
Change_date, _date, Parking_Gate, 
change_lecturer, lecturer, ov_lecturer, 
change_module_code, wrong_module_code, upgrade_module_code, 
change_request, new_request, Wrong_request, 
charger, Charger, change, 
Charger, charger, ChargingPort, 
ChargingPort, Charger, 
chats, cas, class, 
class, Class, css, 
Class, class, Classroom, 
ClassCode, Class, Classroom, 
classcode_issue, classcode_missing, user_issue, 
classcode_missing, classcode_issue, record_missing, 
class_not_found, classroom_finder, class_setup, 
classroom, classroom_, Classroom, 
classroom_, classroom, Classroom, 
Classroom, classroom, classroom_, 
classroom_finder, classroom_, classroom, 
classroom_setup, class_setup, classroom_, 
class_setup, classroom_setup, course_setup, 
Clicker, ticket, Docker, 
CloneAction, OU_location, Reallocation, 
cloned, loundry, blocked, 
Cluster, user, Computer, 
code, xcode, mode, 
collection_issue, connection_issue, Exception_system, 
commission_list, distribution_list, missing_intake, 
Complaint, Compliance, domain, 
completion_letter, collection_issue, 
Compliance, Complaint, 
Computer, Cluster, Home_Router, 
Configurator, misconfiguration, course_configurator, 
confirmation, confirmation_slip, misconfiguration, 
confirmation_slip, confirmation, misconfiguration, 
connection_issue, collection_issue, Exception_system, 
corporate_training, reportnotrunning, 
correct-entry, careercentre, country, 
cortana, Stanza, 
Cost, iConsult, Hostel, 
cost_centre, careercentre, 
country, loundry, account, 
Coures, Course, course, 
course, Course, New_course, 
Course, course, Coures, 
course_configurator, assessment_configurator, Configurator, 
course_name, username, course_sync, 
course_offered, course_name, course_setup, 
Course_Schedule, schedule, FeeSchedule, 
course_setup, course_sync, course_name, 
course_sync, course_name, course, 
CR, CRF, 
Create, repeated, relocate, 
create_view, new_view, creation, 
creation, renovation, Orientation, 
CRF, CR, 
css, class, sas, 
dashboard, HoS_Dashboard, Examboard, 
data, matla, database, 
database, e-database, e-databas, 
DataMigration, Migration, Declaration, 
_date, update, Update, 
db_access, access, gateway_access, 
dbeaver, driver, device, 
db_maintenance, Maintenance, maintenance-forms, 
decimal, email, Recall, 
Declaration, creation, DataMigration, 
delete, deleted_te, intake_delete, 
deleted_te, delete, 
Desktop, Desktp, 
Desktp, Desktop, test, 
device, evidence, invoice, 
dhason, done, 
dingdong, DingDong, 
DingDong, dingdong, replyToDingDong, 
Directory, ActiveDirectory, staff_directory, 
disable, disbled, disabling, 
disabling, disable, missing, 
disbled, disable, disabling, 
Displayname, visa_payment, 
dissertation, Registeration, installation, 
distribution_list, commission_list, 
DMU, EDM, 
DNs, KDN, DNS, 
DNS, KDN, DNs, 
Docker, voucher, blocked, 
document, announcement, 
domain, Complaint, automation, 
done, none, None, 
Done, none, done, 
DONE, TONER, 
driver, Xdrive, Server, 
Drupal, Virtual, 
duplicate, Duplicate, Duplicated, 
Duplicate, Duplicated, duplicate, 
duplicate_collection, duplicate_record, passport_collection, 
Duplicated, Duplicate, duplicate, 
duplicate_record, duplicate, Duplicated, 
EAC_audit, audit, Audit, 
Easymoo, moo, 
ebus, bugs, 
EC, EC2, MDEC, 
EC2, EC, 
e-databas, e-database, database, 
e-database, e-databas, database, 
EDM, EMR, EDX, 
EDX, EDM, 
e-form, e-forms, eforms, 
eforms, e-forms, forms, 
e-forms, eforms, e-form, 
E-forms-access, access, 
efrei, refresh, resit, 
ejbm, Webcam, 
ELB, LAB, 
Electivemodule, module, 
email, emailto, Email, 
Email, email, mailing, 
email_change, name_change, change, 
email_creation, creation, email_change, 
Email_group, group, Email, 
emailpolicy, emailto, email, 
emailto, email, emailpolicy, 
empty, Template, 
EMR, ERP, EDM, 
Enabled, Cable, tablet, 
Engine, Engineering, none, 
Engineering, Engine, 
Enquiry, Inquiry, Fee_Enquiry, 
enrol, role, General, 
